Date,Open,High,Low,Close,Adj Close,Volume
2017-02-26,11.836400,12.040000,11.678600,11.888600,11.888600,2039860
2017-02-27,11.871200,12.060400,11.831700,11.960400,11.960400,1343950
2017-02-28,11.991000,12.319500,11.512900,12.276500,12.276500,4316810
2017-03-01,12.302100,12.903500,12.127300,12.331200,12.331200,6449830
2017-03-02,12.261800,13.333000,12.103200,13.113600,13.113600,7161980
2017-03-03,13.096400,14.613900,12.864200,13.910500,13.910500,7926590
2017-03-04,13.934600,14.244600,13.374200,13.672800,13.672800,2239270
2017-03-05,13.669100,15.419400,13.664400,15.181400,15.181400,5455280
2017-03-06,15.226200,15.799000,14.835800,15.412700,15.412700,6913360
2017-03-07,15.426500,15.426500,13.533900,13.533900,13.533900,5928550
2017-03-08,13.557600,13.804900,12.472100,12.472100,12.472100,4244610
2017-03-09,12.464900,13.527200,12.393800,13.029700,13.029700,3489930
2017-03-10,13.053800,13.620900,12.348500,13.214200,13.214200,10802800
2017-03-11,13.120300,14.759000,13.013800,14.686800,14.686800,6499310
2017-03-12,14.719700,17.127899,14.452600,16.791901,16.791901,17931000
2017-03-13,16.801600,19.315500,16.693100,18.132601,18.132601,19566500
2017-03-14,18.093399,18.401699,17.107599,17.759800,17.759800,10072300
2017-03-15,17.788500,19.690599,17.352699,18.983700,18.983700,12265200
2017-03-16,19.046200,22.985300,18.773100,22.483500,22.483500,31673800
2017-03-17,22.565001,26.205500,20.155701,22.351200,22.351200,36529400
2017-03-18,22.269699,22.269699,18.603100,20.066200,20.066200,16830500
2017-03-19,20.105200,24.610600,20.105200,23.287600,23.287600,22162500
2017-03-20,23.304199,24.815001,22.438200,22.507500,22.507500,10860900
2017-03-21,22.624300,23.055000,20.677601,21.286301,21.286301,18555800
2017-03-22,21.391199,22.393299,20.770901,21.419701,21.419701,9699960
2017-03-23,21.454201,22.487900,20.638201,21.822001,21.822001,7419900
2017-03-24,21.846701,22.280001,20.857800,21.095301,21.095301,13807600
2017-03-25,21.084499,21.278299,19.877199,20.135000,20.135000,10858900
2017-03-26,20.162100,20.565901,19.293301,19.611700,19.611700,7408990
2017-03-27,19.753000,20.101900,17.708900,19.661800,19.661800,11887200
2017-03-28,19.487499,20.510599,18.166599,19.806801,19.806801,10061200
2017-03-29,19.882000,21.339500,19.284599,21.144899,21.144899,6704720
2017-03-30,21.062201,21.452101,20.253401,20.878401,20.878401,5993880
2017-03-31,20.796900,21.195101,19.839701,20.537100,20.537100,6955980
2017-04-01,20.524401,21.530500,19.234301,21.495001,21.495001,7622780
2017-04-02,21.418400,21.503599,20.018999,20.139500,20.139500,7427960
2017-04-03,20.161900,21.156200,19.935900,20.328400,20.328400,7080440
2017-04-04,20.326500,21.506701,19.868700,21.353399,21.353399,7062530
2017-04-05,21.310301,21.622200,19.583900,19.617399,19.617399,9188050
2017-04-06,19.586399,19.954201,18.332600,19.270700,19.270700,11553100
2017-04-07,19.319700,20.068501,18.950001,19.386700,19.386700,5499430
2017-04-08,19.306299,21.457300,18.997999,20.830601,20.830601,6218750
2017-04-09,20.841101,21.311300,19.752001,20.676300,20.676300,5711770
2017-04-10,20.688299,22.408300,20.524300,21.828400,21.828400,6591730
2017-04-11,21.802200,21.891600,21.119101,21.355600,21.355600,5356450
2017-04-12,21.322500,22.109200,21.246201,21.764000,21.764000,6401630
2017-04-13,21.692301,22.079599,21.438101,21.480499,21.480499,5980210
2017-04-14,21.469700,21.795601,19.668800,20.591400,20.591400,8949460
2017-04-15,20.426100,21.189100,20.254900,20.710800,20.710800,4483370
2017-04-16,20.705799,20.820900,20.247101,20.459499,20.459499,4222960
2017-04-17,20.458099,20.991899,20.319401,20.561100,20.561100,6055450
2017-04-18,20.526600,21.169201,20.449600,21.058701,21.058701,4459260
2017-04-19,21.066099,21.123400,20.234800,20.394501,20.394501,5877830
2017-04-20,20.398399,20.904100,20.240499,20.240499,20.240499,6216400
2017-04-21,19.981400,20.341200,19.753799,20.292700,20.292700,6704090
2017-04-22,20.270700,20.515200,19.969400,20.122101,20.122101,5266460
2017-04-23,20.119200,20.165501,19.680799,19.718300,19.718300,4155640
2017-04-24,19.728901,20.114799,19.509199,19.558399,19.558399,4584190
2017-04-25,19.603300,20.104099,19.358700,19.652500,19.652500,5148290
2017-04-26,19.665899,19.934601,19.236000,19.371799,19.371799,6027790
2017-04-27,19.433599,21.833700,19.266001,21.207800,21.207800,12843800
2017-04-28,21.195499,22.528400,21.122499,22.348101,22.348101,10457300
2017-04-29,22.370600,23.258101,22.124001,22.762300,22.762300,10461300
2017-04-30,22.739300,24.200800,22.716299,23.724199,23.724199,10910000
2017-05-01,23.718000,24.068199,22.229700,22.767799,22.767799,14214000
2017-05-02,22.770399,23.199100,22.059799,23.042400,23.042400,7486110
